State,Year,internet_usage,bachelors_degree,GDPpcGrowth,unemployment,Population,FarmEmploy,Forest&FishEmploy,Mining Employ,UtilitiesEmploy,ConstructionEmploy,ManufactureEmploy,WholesaleTradeEmploy,RetailTradeEmploy,TransportEmploy,InfoOther1,InfoOther2,InfoOther3,ITEmploy1,ITEmploy2,InfoOther4,FinanceInsuranceEmploy,RealtyEmploy,ProfTechEmploy,ManagementEmploy,AdminEmploy,EducationEmploy,HealthcareEmploy,ArtsEmploy,AccomFoodEmploy,OtherEmploy,GovernmentEmploy,AvgWage,PersonalIncomePC,TaxesAll,Male,Female,18YearsOlder,21YearsOlder,62YearsOlder,65YearsOlder,TwoOrMoreRace,White,Black,NativeAmeri,Asian,PacificIslander,Other,Hispanic,SalesTax,LandArea,PovertyRate
Alabama,2010,61.7,22,-0.29,3.8,4785401,50168,14919,12015,14560,145021,244145,79047,271147,69968,6989,2324,4103,12814,2288,641,102761,95529,137768,16997,153914,37644,226026,32524,163632,183321,412956,39607,33710,12551880,0.485,0.515,0.763,0.716,0.171,0.137,0.014,0.695,0.264,0.006,0.011,0,0.011,0.038,4,"50,644",17.2
Alaska,2010,83.4,26.6,-3.5,9.3,714146,755,12069,17816,2270,24277,14871,7196,43819,22631,1154,652,915,4423,176,144,12891,15331,24134,1450,16721,5513,46452,10090,31548,21294,108178,49543,43749,2558356,0.522,0.478,0.736,0.692,0.106,0.075,0.07,0.674,0.035,0.146,0.055,0.011,0.009,0.057,0,"570,665",12.5
Arizona,2010,74.3,25.6,-2.46,8,6413158,26348,15652,17977,12503,161293,159094,109131,355645,88072,10875,5799,5031,17848,6001,1743,194415,193492,205827,29977,252071,66613,340360,66932,237217,160238,447975,44145,33773,16581697,0.497,0.503,0.745,0.702,0.17,0.138,0.026,0.794,0.041,0.045,0.027,0.002,0.064,0.298,5.6,"113,595",18.8
Arkansas,2010,63.4,18.9,0.75,10.4,2921588,56100,13849,16789,7570,86930,163515,50356,159135,65235,5976,1558,2122,7547,1855,385,55493,52500,60844,26943,81401,20186,172842,18703,96650,84485,236627,36686,32373,7391579,0.49,0.51,0.757,0.71,0.178,0.144,0.017,0.784,0.159,0.006,0.011,0.002,0.021,0.063,6,"52,030",15.3
California,2010,75.6,29.9,-0.97,7.9,37338198,237455,213933,60398,59397,874486,1323830,727270,1893393,572625,102451,170341,50659,118472,28022,39611,957558,1042363,1708556,207426,1253780,440359,1866022,538884,1379286,1183534,2682167,54355,41893,174555269,0.497,0.503,0.751,0.704,0.143,0.114,0.042,0.624,0.06,0.008,0.131,0.004,0.131,0.377,7.25,"155,766",16.3
Colorado,2010,76.1,35.9,-2.31,12.4,5047692,45276,11376,49139,8744,187494,138558,101965,301498,79564,26896,5635,7545,33525,7968,2440,192375,180211,275885,32327,186937,59355,281417,86393,234498,155718,454372,48477,42107,20949446,0.501,0.499,0.757,0.715,0.14,0.109,0.034,0.833,0.039,0.01,0.026,0.001,0.056,0.208,2.9,"103,641",12.3
Connecticut,2010,82,35.6,-4.05,9,3575498,8654,2557,3039,6710,102544,173238,70160,215784,49510,11133,4166,5989,11411,2916,2734,193361,110366,153669,30422,110803,77585,283971,48975,122241,109054,266285,58501,55427,27438717,0.486,0.514,0.772,0.73,0.177,0.142,0.025,0.782,0.1,0.002,0.038,0,0.053,0.135,6,"4,840",8.6
Delaware,2010,76.5,28.7,0.76,9.3,899792,3129,999,999,2160,28580,27198,13668,58789,12523,1329,422,368,3305,1341,335,50624,25191,34123,10523,27815,9435,62879,13679,35966,30109,72847,47961,39425,3641745,0.485,0.515,0.771,0.721,0.175,0.144,0.026,0.707,0.213,0.003,0.031,0.001,0.02,0.082,0,"1,949",12.2
District of Columbia,2010,73.3,48.5,0.45,8,604912,0,72,433,1876,13413,1716,5297,21784,6350,6949,1367,4780,4223,859,3037,22803,23760,124809,2383,47581,52364,64903,13588,55727,77068,268654,78560,71220,4650628,0.473,0.527,0.832,0.77,0.144,0.115,0.02,0.402,0.512,0.003,0.036,0,0.028,0.091,6,61,19.5
Florida,2010,75,25.3,-1.94,10,18838613,83076,63945,22743,24539,505175,335456,347607,1090767,298380,38592,15043,17643,68830,22310,5857,570558,549477,672842,91459,796810,197954,1101141,287972,790018,678168,1202051,42871,38345,55628488,0.489,0.511,0.788,0.745,0.21,0.174,0.022,0.765,0.159,0.004,0.024,0.001,0.026,0.226,6,"53,603",16
